median_house_value,housing_median_age,total_rooms,total_bedrooms,population
73600,34,1152,208,621
97200,20,1534,235,871
87500,15,1413,279,803
71700,21,1161,282,724
96300,5,805,143,458
87500,10,1088,203,533
64400,14,1687,507,762
110100,5,2494,414,1416
90800,20,1608,274,862
159900,8,2183,307,1000
94400,30,935,177,649
72500,37,709,187,390
83200,3,1629,317,1005
62000,20,1121,244,766
61200,17,1009,231,745
125000,23,1228,235,569
55200,18,1564,340,1161
87500,16,348,99,123
50000,19,749,238,476
30000,23,1586,448,338
87500,27,452,103,258
93800,44,472,81,206
47500,2,96,18,30
68900,20,1660,379,637
41000,34,3868,1257,890
32500,15,208,49,51
62800,19,1210,248,329
67500,15,459,95,160
67500,18,1321,272,754
58800,5,186,43,41
53800,12,99,25,37
54400,27,322,81,112
53800,8,240,46,63
54300,15,1945,536,515
51300,16,245,57,81
43900,26,1134,280,329
66400,24,2985,958,4042
62800,20,1996,515,659
94500,8,569,97,312
65600,19,301,65,150
81300,17,290,94,135
66900,29,1202,290,383
66800,15,10377,2331,4507
76100,16,381,89,182
65600,13,9444,1997,4166
84700,20,1273,354,1548
100000,17,2421,820,2971
47800,32,3298,1228,763
82600,18,3312,705,1251
112500,22,197,54,331
65400,10,1711,499,1896
61400,12,1230,277,1334
65900,18,3585,800,3873
47500,22,639,203,664
58600,13,1713,512,1978
155000,17,89,19,79
66700,25,2888,654,2940
67500,16,1859,476,1994
60600,26,2399,625,2654
96300,23,1152,273,1077
61800,28,1608,409,567
68200,22,894,192,830
68900,28,2488,714,2891
82200,19,3114,787,3157
100000,34,584,176,625
100900,19,1596,295,1201
32900,14,1372,386,436
42500,23,1175,468,355
69400,26,4120,858,2918
68500,38,1695,352,1279
58800,28,826,258,979
124700,9,3861,849,825
72100,29,1133,221,918
76900,32,4981,1326,3779
90000,17,4874,1349,5032
104100,14,2774,566,1530
93400,25,5236,1039,2725
95000,10,9033,2224,5525
67500,24,880,187,507
50000,33,278,91,375
92900,5,1664,444,907
382400,3,7437,1222,574
83700,17,934,284,452
65800,37,452,109,184
199300,6,12991,2555,4571
167400,5,3584,760,1097
137500,10,2387,481,863
55400,20,2352,556,1217
93400,15,2214,410,1152
91800,11,4686,851,2466
98000,7,4497,831,2248
54200,18,1880,487,994
81000,10,4256,861,1403
100000,19,1791,367,327
57400,13,1808,411,735
158500,5,19107,3923,2880
353100,11,12327,2000,2450
176400,24,2746,514,731
62300,9,1969,406,805
110700,16,2595,606,1046
78500,11,12557,3098,2453
121300,17,8626,1859,3497
318100,7,8806,1542,858
98700,12,4890,1152,1289
65000,14,4985,1238,2517
116300,6,2104,348,841
194500,7,17579,3479,3581
134500,10,11836,2405,3811
258100,17,12509,2460,2737
73300,15,5583,1149,2709
74400,15,11115,2257,4122
128000,19,7646,1618,2496
238800,10,11659,2007,2186
78000,16,5648,1089,2524
97800,9,4855,872,2098
259200,8,3059,500,612
168800,25,2475,476,910
177800,17,4289,893,958
285000,12,7095,1260,1179
341700,14,16921,2837,2524
138300,15,3895,782,900
103100,26,186,48,102
84000,17,6683,1296,2677
115100,8,6710,1343,2069
500001,24,2596,438,473
98100,19,1867,361,758
72400,18,5584,1303,2250
88400,17,5293,1266,1201
97500,18,4872,1110,955
403300,5,846,249,117
99100,9,5534,1206,2283
134600,16,5228,992,1177
127100,22,2680,643,1644
104200,6,4863,920,3010
83000,33,2565,745,2301
65300,22,5473,1234,2581
85200,18,2233,471,919
142500,3,9169,1512,3838
90900,7,10105,2481,6274
113600,27,1781,441,759
81000,10,3254,913,923
145200,14,9425,2020,1711
115300,8,1294,272,457
65900,27,3316,636,2362
148900,13,8789,1875,1274
146400,5,4332,868,1420
66600,10,7249,1882,4274
87500,16,343,85,29
94800,26,5032,1229,3086
248100,20,4810,1074,1304
64700,15,3149,713,1281
51300,21,8502,2634,2330
61100,16,4913,1395,2518
66000,12,3369,780,1315
61000,21,1284,306,537
89600,13,3921,754,1902
112500,13,7559,1444,3189
130400,17,4465,859,853
145200,21,10227,2315,3623
189900,18,4454,852,1754
68200,18,2990,648,1280
125200,5,4423,763,1906
110900,16,10077,2186,3048
159000,28,8399,1839,3470
220500,18,2547,463,411
124100,31,6814,1714,2628
199400,24,6087,1217,1721
183900,22,6050,1387,1432
235600,18,9374,1780,1678
500001,28,2992,562,676
69600,15,6928,1529,2568
321900,36,1765,399,451
148200,15,1985,361,536
22500,8,9975,1743,6835
76600,20,260,67,69
50000,29,551,166,224
230200,18,7962,1652,2009
345500,10,489,82,183
116500,19,4085,876,2133
113500,16,3730,827,1346
172900,23,1731,365,612
198100,11,2522,538,616
67400,14,6438,1719,1586
169100,18,4115,847,2032
240600,13,843,157,918
193800,16,349,74,120
161100,21,3460,711,658
156300,26,1820,374,1001
66300,12,549,109,209
81700,14,4527,875,1640
122900,13,3166,682,1250
214300,11,2385,661,682
158200,17,4190,946,1802
143400,16,5277,1070,657
217400,17,4863,845,2266
308600,17,3348,481,1222
111400,14,3959,849,1064
42500,4,42,10,9
173400,6,1251,268,544
187200,16,3311,702,1627
214500,14,4085,751,2129
63000,19,2307,525,1266
221000,7,12480,1946,5102
90000,16,319,68,212
231800,12,4281,786,1891
206100,19,2652,520,1421
100000,35,324,63,158
274600,11,3874,565,1672
84700,11,5799,1527,713
90800,15,8948,1985,1316
167800,6,3123,495,1513
199200,5,5673,855,2592
119300,20,1066,219,536
202100,16,2502,532,1211
57400,26,3606,792,1683
163100,5,5806,1030,569
197600,17,4234,770,2191
147800,13,4760,938,309
58000,11,658,131,376
91100,18,521,118,174
170700,13,2604,443,978
164500,17,9044,1689,5030
170200,17,401,68,251
285400,17,5799,921,2630
187200,19,1747,291,848
73400,35,4448,906,2736
54600,32,3141,812,2589
130800,5,4116,761,1714
128100,12,1153,265,446
248900,15,2053,321,993
259900,13,3268,491,1431
176000,11,1089,198,230
226500,13,4137,796,573
225000,38,898,259,106
128600,52,3419,777,710
55000,37,1495,429,865
140000,20,3111,623,1000
166700,11,7217,1583,4197
171500,16,3204,541,1818
196600,9,3049,471,1527
72600,29,4549,916,2494
81000,10,2653,621,1967
146300,2,6900,1238,1950
81700,23,2719,538,930
137500,14,1016,219,443
210900,14,2816,501,1448
158300,16,1743,333,652
185300,15,3560,593,1757
293100,9,2652,393,1355
55000,10,337,102,108
77700,20,3481,840,1694
189700,16,3018,523,556
98600,30,3915,672,1820
71800,34,3183,738,1820
127900,14,2281,426,894
93800,15,652,149,248
234500,11,4132,773,2012
167200,11,3213,634,1975
189200,19,3090,552,1621
146900,18,4215,810,2104
153800,18,3612,737,1864
294700,21,3770,491,1410
307100,8,3600,492,1421
193800,18,553,100,215
123400,13,10886,2127,4266
189700,19,6807,1164,2703
147100,14,3048,597,1690
131000,15,3153,628,1633
139500,10,3699,838,2310
159500,21,4152,703,2255
174400,16,5203,898,2515
170100,14,1978,424,1085
232000,22,4331,637,1952
208800,32,1943,287,1081
316400,15,4058,511,1580
300300,8,4630,624,2048
143800,18,397,89,239
145000,23,1378,269,767
178000,16,4675,834,2188
165300,34,1765,284,772
155700,17,2492,494,1278
184600,16,2784,468,1458
160400,33,1518,268,857
159100,21,4192,752,2101
181300,9,1859,307,947
95600,13,7804,1594,3297
121500,14,6027,1148,3136
112800,15,3757,666,1693
239900,16,3490,545,1628
211900,17,3722,670,1561
150000,5,4116,990,2770
119000,15,3273,895,1872
163500,21,1283,278,684
171000,26,4129,714,1820
125400,18,2447,466,1573
140600,23,5759,1258,3108
142300,19,3354,699,1948
78500,20,6541,1401,2631
153500,27,12342,2630,1300
137600,14,7240,1410,2708
118900,19,2901,445,1414
120000,17,5160,851,2344
227800,24,2541,381,1078
177200,24,2824,441,1480
166300,32,1607,253,778
147800,38,1701,317,872
159200,35,1737,285,826
137500,28,3042,729,1964
109800,21,7906,2292,4868
193200,17,13559,2656,6990
229700,4,14934,2479,6945
116300,14,5320,974,1947
95300,8,10997,2205,5060
74000,24,3409,804,1939
95900,10,6890,1702,3141
109500,23,4676,1096,2770
85800,19,2238,573,1190
89400,20,2233,431,1024
91200,18,1996,405,1270
94500,21,4587,810,2233
173900,11,1183,178,543
117000,16,2921,639,1838
222600,18,2087,353,992
129400,31,1307,245,752
168700,14,12517,2506,6389
144900,18,3038,592,1904
108300,12,5535,1434,3112
147700,31,1277,293,698
100000,15,2619,599,1513
123200,19,11391,3093,7178
138100,33,2432,443,1147
296400,20,3425,448,1489
303400,25,3308,421,1201
266200,13,5543,857,2074
157100,17,1635,272,960
88500,20,2355,467,1198
44700,30,1211,289,611
81900,22,1999,497,1304
83000,21,2990,691,2108
76300,35,3269,757,2328
87600,19,3649,755,1717
87000,20,4735,973,2306
186500,16,3047,495,1507
158500,17,4713,740,2531
160300,14,3064,496,1681
166100,11,9724,1796,5247
152500,8,2378,638,1410
134400,25,3421,803,1681
124100,19,4574,1152,3045
120800,16,3920,1094,2612
133700,35,1081,266,691
123800,19,3008,693,2341
138800,17,5236,1325,3308
132800,26,2807,630,1785
112100,12,5876,1222,2992
91200,29,3197,632,1722
73200,29,2793,722,1583
74800,24,2680,606,1728
86200,31,2712,628,1519
76900,20,3674,792,1498
287500,10,5149,851,2177
112500,23,149,32,101
111400,15,3927,1018,2204
113600,32,1255,338,782
112500,19,4108,1101,2971
138600,37,1255,238,671
136400,35,1113,236,681
226900,26,8902,1413,3941
228900,33,3071,466,1348
270700,26,2460,313,838
186900,28,3519,583,1720
176100,14,7410,1344,3597
233400,4,16450,2833,7985
153300,23,1262,294,5176
133900,16,2098,449,342
117500,21,739,125,199
316700,6,2290,312,957
89800,27,3459,640,1760
73200,40,2277,498,1391
68300,33,376,83,267
139300,15,2228,472,653
107900,12,5829,1309,2711
85700,25,4952,1062,1589
151700,12,7320,1279,4048
153200,19,2121,341,1236
146400,16,7718,1423,4383
134500,12,3570,713,3321
164400,28,5721,1029,2672
189700,32,3756,662,1611
379600,29,3558,447,1097
214000,25,4137,662,1905
170800,18,1519,369,802
173700,24,977,147,454
162300,16,3361,537,1754
175300,16,952,143,530
223300,4,1078,158,571
121400,18,2355,444,1277
70500,24,2741,577,1551
69000,23,6060,1165,2920
157100,29,5055,1036,410
195900,22,4227,658,1849
147500,26,503,69,293
113100,7,10352,2007,3559
69400,12,7626,1704,2823
77000,18,9601,2401,4002
97800,13,16148,3474,6159
43000,13,1614,410,846
181300,17,5509,866,2748
134200,32,5211,949,3025
154600,20,6696,1326,3687
201000,25,4436,758,1997
250000,18,10968,1521,4439
195800,34,3657,538,1513
165100,33,2420,393,1003
165800,26,3623,703,1609
222800,29,1114,163,385
301600,35,2306,334,828
215300,18,3341,611,1952
189900,17,3101,547,1410
153800,30,1856,339,1103
169500,15,825,130,334
143300,14,1771,301,1046
149600,13,1330,216,719
169500,11,1112,164,441
113800,21,3049,582,2355
150100,15,3660,622,2629
193500,15,4331,699,2046
69400,29,2637,512,1188
87200,16,6862,1292,3562
94400,8,5330,1529,2143
419200,17,2073,313,573
150400,18,11544,1979,6296
140800,24,1888,319,950
150300,33,1816,325,768
241400,35,2114,317,881
173500,30,1802,401,776
226800,31,2545,373,956
189100,31,1989,280,805
118800,17,2357,599,1423
143200,10,3817,943,2352
123500,22,2263,441,1395
131000,23,2785,468,1456
264100,16,2238,307,1002
170400,11,3098,490,1391
55500,36,2181,555,1404
72000,34,2194,519,1326
70400,26,2599,498,1332
135200,15,5592,891,2419
118800,18,4775,886,1868
362300,13,4595,567,1643
378300,8,3372,430,1536
151400,23,2592,414,1401
143300,23,1951,395,901
121900,17,15401,3280,7302
185100,26,4499,645,1866
193500,21,4203,618,1620
168900,20,2705,545,1198
160200,17,1558,479,803
84200,17,1042,210,650
159300,33,4015,663,1864
155300,31,3776,815,1886
235600,20,2616,597,1532
149300,43,841,192,496
164200,34,3330,723,1592
223700,34,3415,608,1464
189600,22,3626,824,1800
152500,34,2105,340,973
178100,26,4038,706,2065
135200,31,3473,722,2098
120800,22,2526,530,1556
132300,12,2914,734,2104
129100,20,3506,692,1977
132200,7,2327,490,1304
120800,25,2321,398,1434
266900,17,2319,348,1125
293900,11,9992,1368,4495
221600,7,6483,976,3269
14999,19,619,239,490
61600,37,1199,351,782
69300,29,3111,661,1530
191600,19,4415,648,1627
105200,5,1822,367,798
108900,10,6317,1335,2625
120700,20,1317,203,453
112500,14,3700,750,1171
134700,6,8278,1579,3062
337200,7,1972,352,964
160100,25,1909,334,1043
148300,17,4013,673,2263
164000,27,1950,317,950
180900,26,1998,301,874
182200,14,3173,599,1451
168900,29,1232,243,665
177200,27,2369,370,927
147900,36,2211,384,868
158200,33,3481,708,1726
163000,31,2567,507,1198
185700,40,2523,488,976
154200,15,1204,326,543
217100,33,3296,537,1345
144700,30,4205,772,2012
119200,12,3301,963,2000
141400,22,5201,865,3280
126900,36,2030,369,1142
118500,30,3187,592,2082
125400,22,2756,516,1849
267400,14,3986,675,2065
245200,20,1505,184,635
273600,19,771,103,376
281700,5,260,41,157
98100,19,1902,335,1102
76600,27,2718,583,1472
101500,7,2245,407,1016
220300,16,3784,577,1615
113500,26,3501,664,1860
187500,6,78,11,27
243800,14,1088,209,601
212800,17,5391,886,2732
248300,25,3142,446,1286
182100,16,3424,698,1940
209700,16,1765,289,743
220000,19,3866,775,1554
174400,31,2366,383,1077
220500,26,3859,513,1469
171300,17,5481,1618,2957
161200,34,1796,428,918
118200,19,4819,1492,2572
187300,24,7879,1655,3898
130400,37,821,150,404
129700,35,1878,454,991
123600,38,3174,606,1557
142000,34,2061,391,1169
154400,32,1750,333,997
125400,38,886,176,505
120600,37,2192,455,1515
99600,34,2328,444,1684
103000,33,3126,627,2300
109900,19,2304,572,2010
175500,8,2460,397,1784
179400,5,3201,532,2061
156100,10,901,163,698
266600,15,5094,818,2118
290500,14,1111,142,472
213700,14,2796,476,1466
227700,13,2087,313,1165
166900,22,1028,148,523
66800,37,1884,366,1052
98300,30,3474,735,1674
92000,29,3375,795,1760
103500,24,4663,1213,1851
104900,25,3750,781,1594
132100,21,4624,852,2174
150000,15,13814,2888,6583
335600,16,4677,581,1902
296200,16,2852,435,1083
342300,28,922,107,314
314900,6,9518,1418,4413
192900,16,1332,196,640
175700,13,6711,1256,3683
436100,6,6525,826,3146
177400,8,2205,348,777
254200,12,2880,406,1381
243400,25,2504,345,1067
146700,11,1802,440,630
306800,23,2491,350,863
143800,21,1824,447,962
144700,16,7963,1881,3769
141400,43,3171,665,1534
152200,37,2979,557,1285
144000,36,2297,418,1070
132000,5,2878,785,1727
140700,33,3880,770,2288
137000,24,5474,955,3020
109800,28,5274,991,3727
158900,9,3417,860,2521
89300,13,2132,425,1345
115000,11,1875,357,1014
137500,14,3464,683,2139
303900,22,3362,630,1471
247800,8,8806,1401,3159
225600,5,2329,542,1213
181600,26,2756,422,1166
160200,26,2074,356,1228
151900,27,1710,282,1089
139800,20,8052,1461,5094
152900,18,4747,846,3002
132100,20,2029,357,1497
152100,14,2355,406,1883
93200,15,2206,648,2511
67500,7,938,297,1187
62000,36,1199,260,665
111800,23,3967,766,1518
104600,28,3009,698,1200
106700,21,3098,646,1351
116700,27,5484,1205,2645
347700,5,3471,530,1541
267600,17,1800,312,891
264700,14,3103,569,1704
136300,16,4552,1166,2737
167500,22,2427,390,1099
98500,20,7746,2035,5370
169900,17,2385,372,1118
223500,18,4393,642,2095
278600,6,7916,1293,2741
400000,12,1840,254,580
260100,18,917,121,388
211100,19,3558,588,1439
429300,17,3430,425,1468
194300,17,9911,1436,4763
165800,18,3593,661,1992
167800,17,4814,1091,3013
178600,17,3039,555,1297
197000,16,4046,731,1684
228600,17,1885,292,771
249000,25,1905,250,865
330600,23,3309,401,1116
180400,17,1475,308,549
94600,16,1561,378,574
161700,37,1184,178,529
158300,33,3535,683,1568
147700,23,2556,662,1200
159600,46,1887,359,795
133700,43,1718,344,826
139800,36,2024,408,1030
137300,35,2144,388,1003
142900,29,2767,612,1437
115300,34,2178,455,1193
133900,27,3184,588,1763
133900,35,3669,617,1694
117000,35,1777,369,1158
165500,8,831,158,740
144300,21,991,210,695
143800,14,1689,555,1319
129800,35,3414,580,1761
150400,19,1469,275,1010
165100,15,1828,359,955
137800,32,4227,785,2842
153800,16,2168,343,1589
160100,31,4911,861,2334
144500,34,3928,686,2315
139300,26,1563,286,1145
129700,21,6034,1205,3795
131900,26,1919,345,1326
98300,16,4683,929,3073
132700,25,2185,370,1558
136900,22,2101,399,1551
139300,22,2172,563,2049
114900,18,1215,320,1195
134500,17,985,233,811
59600,36,2828,916,1762
89000,21,2520,582,416
126200,27,1945,446,859
116300,24,3912,809,1926
94400,33,1575,326,879
145300,17,2813,565,1345
174800,4,5465,974,2844
147500,24,2155,379,1158
143500,12,8742,2114,4854
262500,11,7483,1276,3516
278000,17,1785,255,667
265400,23,2023,309,678
121100,24,830,190,279
261500,17,2635,389,994
209200,9,2470,417,904
180700,16,1306,196,713
192300,17,4754,877,2412
234700,17,3939,550,1694
222000,17,2247,340,973
391300,21,3787,492,1246
331800,17,2524,332,771
161800,34,1730,373,730
161800,18,2269,682,1329
150500,38,1549,288,636
156800,24,1629,587,1012
125900,34,2516,611,1317
129200,34,1917,419,1181
126700,33,3444,619,1884
116900,31,2669,514,1626
125700,21,1864,388,1498
145200,11,2397,523,1566
158900,9,521,111,491
157700,9,1520,269,1250
154900,13,705,149,718
113500,41,2665,515,1664
125800,38,1481,317,1080
125000,36,3815,796,2945
125000,29,4047,754,2353
234600,33,3425,511,1528
186100,30,4494,667,1883
160200,37,1326,234,612
169800,29,4168,742,2096
189700,36,786,125,408
128300,34,4325,1015,2609
108200,33,905,205,989
94600,25,1075,238,434
107300,24,1088,268,1095
147700,17,2724,567,2213
107600,13,3435,708,1761
142400,11,2879,679,2098
123600,25,1268,282,991
95000,18,1384,311,1429
141100,17,2252,378,1776
156500,16,1269,282,1609
125000,5,2706,925,3148
140400,17,2803,683,2768
108800,5,3223,940,3284
115000,21,4773,1047,337
112500,16,4928,960,2132
157700,17,1893,297,936
180400,15,2994,522,1231
160600,16,2546,429,1683
137500,33,555,165,612
135300,17,6817,1632,4526
146300,32,2474,499,1224
187700,21,4578,927,2818
127000,12,2453,599,1251
139900,31,2055,473,1326
142300,17,5565,1237,3004
444100,8,2756,343,1045
210100,4,2271,578,926
328200,15,1095,158,361
268500,14,6665,1231,2026
148200,17,2863,665,715
294100,5,5870,977,1917
169400,25,2120,381,588
241500,4,9153,1866,3775
281600,4,6242,1258,2211
477600,5,2234,256,894
168900,36,2028,349,820
181000,31,2550,395,1017
195100,23,2698,410,1094
268300,26,3725,623,1516
218800,22,922,240,1524
184000,38,3779,614,1495
167600,38,1130,228,699
185500,34,2245,394,1849
176600,42,1827,378,880
138100,14,2523,545,1297
119100,9,3464,749,1687
154200,37,2690,549,1219
120700,31,2036,501,1263
144700,14,3073,851,2000
116900,37,1042,205,589
154200,18,2968,656,1149
141800,18,1758,286,987
89600,39,2754,652,2263
109100,36,2448,475,1268
123400,26,4151,823,2822
143000,14,2763,456,1914
118000,29,1429,293,1091
153300,28,1485,275,820
135000,20,2192,406,1766
142200,18,1475,267,1149
95600,35,3200,725,1723
112300,28,2758,623,2179
204900,12,4131,891,2272
150400,38,1486,269,745
172800,32,5135,1025,2152
129500,30,2873,774,1593
154900,40,1706,322,796
145500,37,2372,444,1056
156900,37,2303,379,1026
155900,19,5016,1173,2750
135500,22,5016,1331,3222
128400,10,1686,414,1000
67500,18,2602,551,1042
96200,21,1779,466,1327
131400,17,2961,634,1911
93600,14,1527,357,1224
142600,9,3648,895,3293
79800,28,1777,307,721
500001,34,45,11,39
115700,23,3862,699,2082
122800,20,3111,563,1453
148200,6,1771,293,935
272200,14,3337,571,1385
156800,19,2629,494,1444
154200,15,1497,250,827
160900,11,1430,292,921
113700,17,8466,2628,7014
145500,37,1060,268,823
114300,33,674,208,565
116700,31,1832,444,1669
115100,31,1356,324,1301
127700,28,2094,585,1556
178300,23,3792,624,1988
249100,23,3400,501,1383
264100,10,2577,347,1193
137200,18,1339,284,761
229300,17,987,142,463
137900,15,3023,623,1283
160600,10,2296,450,818
238700,5,5659,931,2565
246500,3,17466,3336,7644
308300,5,14944,2490,6600
327900,9,1547,218,683
248400,16,1653,228,690
260600,7,13703,2352,4446
271700,10,5177,856,2190
184500,25,2963,552,1162
222800,21,2919,496,984
219200,31,1070,155,426
184100,25,3911,849,1580
155400,27,1221,254,606
140300,20,2547,785,1199
125000,18,1704,596,1639
118300,20,1989,508,1452
128100,16,1111,328,930
95300,15,1821,516,1385
126500,33,3260,673,1784
124700,26,2359,622,2067
122000,36,3331,643,1903
122500,36,1158,218,619
111300,19,2935,763,1953
86200,27,2204,598,1656
98900,37,2176,418,1301
97000,36,2103,390,1279
111400,36,1571,284,1001
117000,31,2558,487,1938
112400,26,3071,615,2156
122600,19,3635,1078,3127
118200,31,3008,764,2088
103400,43,1004,236,839
123800,28,2296,603,1277
147000,17,2633,712,1487
150000,38,917,256,494
141700,11,1651,533,947
139800,33,2891,793,1607
159400,30,2504,559,1827
146300,28,2080,427,1266
150400,36,1674,309,818
158600,28,2468,506,1353
151900,16,5192,1381,3261
149100,27,2264,525,1485
121900,24,1901,490,1334
153000,8,2888,662,2441
134400,30,144,52,220
131000,22,2128,477,1420
88300,9,6298,1512,4451
87500,16,1347,327,271
103000,24,6260,1271,3132
90500,13,1974,426,1276
137500,13,3958,865,1981
129900,9,5685,1442,3773
122500,11,567,184,620
171600,32,1713,321,891
177000,21,2876,539,1387
216800,18,3215,588,1618
201400,16,2175,327,1037
268800,23,1125,273,687
255700,9,2012,316,802
282200,16,2005,266,827
255100,16,1989,290,814
264000,15,4138,636,2001
288200,7,6100,1185,2710
174100,36,2163,367,915
131300,15,666,152,247
170000,36,1936,345,861
171200,36,1529,266,683
169700,20,2183,534,999
165300,28,1708,393,816
216500,38,2065,374,812
291500,31,3062,596,1263
203100,44,1139,214,470
223000,43,3889,711,1466
159100,31,2567,624,1255
122500,31,1235,387,816
118800,10,1922,577,1595
84400,30,1899,546,1620
105000,28,1220,391,1286
95000,24,1245,376,1230
95500,20,1701,503,1482
93200,23,3130,779,2472
124100,26,3114,686,1948
102500,39,1273,246,770
111800,33,1096,240,716
96800,29,2238,523,2061
106300,12,3375,945,2357
94200,22,2409,582,1887
108300,20,1102,205,852
108000,18,1645,430,1221
120600,30,2662,653,1997
100000,29,1792,449,1650
104900,20,2569,737,2341
117000,37,1157,332,983
108900,31,2051,549,1581
136300,46,844,147,423
127100,38,833,206,570
150000,25,3509,985,2359
145800,20,1445,323,573
145900,38,2095,536,1240
142700,30,3171,862,2126
147500,24,3613,973,2002
57500,20,1999,651,1302
150000,33,620,161,420
67500,27,2920,770,1935
129700,37,1925,428,1344
129700,34,1576,364,1153
118800,23,1157,309,640
113000,21,1945,430,1335
135300,12,2565,567,1785
139500,23,1817,323,1371
138900,17,444,83,357
160700,10,2198,368,1645
144400,8,6533,1217,4797
112800,6,5110,1044,1938
108400,22,4397,931,1145
96000,24,4144,826,2127
307600,6,1868,289,750
168800,19,3518,658,2091
183800,12,2465,412,1226
161100,5,3159,685,1398
159500,7,10665,2576,4917
275000,12,961,342,315
261100,5,15502,2613,7417
85800,17,3167,861,2098
167600,7,3619,770,1134
184300,16,2994,445,1047
179500,16,4214,744,1820
281600,49,4449,711,1606
270800,52,2606,426,883
151800,31,987,267,619
139600,30,1835,474,934
85200,23,1858,551,1506
94800,21,2063,609,1686
99200,20,2355,722,1848
103400,16,2426,799,1505
92400,15,2422,774,2120
89800,11,1976,548,1528
94100,30,1772,500,1389
93400,14,2361,601,1831
102900,24,2927,704,2005
137200,5,1615,387,1094
92600,9,1931,472,1628
87900,25,939,247,1003
86300,42,2002,488,1505
95600,28,633,137,525
87200,37,1269,340,1369
98000,35,1292,272,1183
103600,29,4174,1195,3675
83100,11,3071,911,2812
93600,49,1412,350,1200
90300,47,771,224,637
97800,47,1044,274,1003
88900,20,1012,269,837
109100,26,2629,763,2721
110600,22,1690,541,1669
92900,15,1635,553,1347
106300,27,1782,560,1785
134700,29,1578,460,1236
87500,21,2350,667,1621
136800,29,1061,202,759
127600,27,2616,591,1889
120800,23,1662,377,1318
132800,17,2046,559,1585
144900,26,2343,371,1221
133700,14,5058,1299,3662
146800,16,2687,501,1502
111200,14,3026,556,1349
149000,25,1254,312,715
139600,14,2715,500,1540
161200,13,1914,339,930
96100,17,4174,851,1845
71300,18,4799,1035,1966
298100,13,5819,919,2228
222400,15,3154,488,1656
191100,14,8374,1407,2916
190500,10,3208,636,1395
200000,46,52,13,59
132400,17,2641,627,1167
263600,9,1531,242,850
231800,11,4694,824,2223
310600,15,1840,235,855
161500,16,2043,388,705
243000,16,4608,629,2020
166500,16,4241,892,1771
175000,16,3980,682,3174
67500,15,3428,491,2303
67500,17,3890,586,2791
96900,16,2574,771,1129
129300,16,1791,518,1006
73500,16,2470,830,1170
133200,16,2220,512,930
300000,52,1506,233,478
331400,52,1484,224,498
167000,50,1729,355,617
190300,48,1502,272,590
114200,29,2030,545,1014
122700,28,1457,397,672
126300,21,2226,600,1085
114400,19,2188,616,1304
90600,46,695,182,601
102100,34,2131,594,1373
100000,21,2127,658,1812
101100,20,1667,469,1292
100000,11,1607,478,1384
123100,33,1126,267,621
90300,25,684,190,665
98700,25,2846,644,2272
97300,35,1689,397,1135
126700,34,1096,221,574
88600,25,1491,348,1183
85900,30,1729,457,1673
83200,29,1040,291,1054
83300,37,2045,502,1920
79400,34,2028,522,1797
